JF01|4|A szervezet részt vesz a projekt fejlesztésében, így biztosítva a számára kedvező célok elérését.|SF01,SF02,SF03,SF12,SF05,ST02
JF02|4|A kód-hozzájárulásokat a projektre vonatkozó formai és minőségi szabályok betartásával, lehetőleg egy ismert közösségi tag segítségével kell bevezetni. | SH07,SK01,SK03,SK04
JF03|1|Közvetlenül, kvantitatív módon ellenőrizhető a minőség szintje. |SF05, ST05
JF04|3|Lehetőség van saját alternatív (forkolt) változat létrehozására.|SF07, SF11
JF05|2|Egy adott állapot rögzítésével (snapshot) elkerülhető a folyamatos változás okozta problémák egy része. | SF04,SF06,SF07,SF10
JH01|1|Formális tanúsítás híján a felhasznált komponensek kódját megbízhatósági modellekkel kell vizsgálni (pl. CodeTrust).|SH01, SH02, SF05
JH02|3|A kód szabad módosíthatósága miatt várakozás nélkül javíthatóak a sérülékenységek, amennyiben a kód módosításához szükséges erőforrás és szakismeret rendelkezésre áll.| -
JH04|2|A felhasználandó FLOSS komponenseket erre szakosodott szakértők révén szerezzük be. | SH04, SH05, SF05, SH08, SJ01, SM06
JH05|1|A FLOSS komponens kiválasztásának folyamatát és körülményeit dokumentálni kell.  | SH05, SF05, SF10
JH06|4|A kód változásait lehetőség szerint vissza kell vezetni az eredeti projektbe. |SH06,SF07,SF11
JH07|3|A fejlesztést végző részlegnek legyen megfelelő verzió-követési terve.|SH06,SF07, SF10, SF13
JH08|3|A beszállító vagy a fejlesztést végző részleg alkalmazzon FLOSS komponens kezelő keretrendszert. |SH06, SH03, SS03, SS02, SF07, SF10, SF13, SH08
JH10|4|A forráskódban minden nem publikus információ világosan definiált legyen. A változások visszavezetésekor automatizált rendszerrel meg kell akadályozni a minősített információ kiszivárgását.|SH09, SF07
JH11|2|Képzésekkel kell tudatosítani a komponens integrációval járó veszélyeket és a biztonságos felhasználáshoz szükséges eljárásokat|SH04, SH05, SH06, SH09, SF13, SH08
JG01|1|A FLOSS állami vagy nemzetközi szinten kell támogatni, mert fellendülése a munkaoptimalizáció révén növeli az információbiztonságot.|SJ01
JG02|2|A nyílt modell kockázatainak és lehetőségeinek oktatása szerepeljen a megfelelő oktatási intézményekben.|SG01
JG03|3|Országos vagy európai egységes forráskód kezelő rendszer kialakítása szükséges.|SF05, SH08, SJ01
JK01|4|A közösségbe fejlesztőket kell delegálni akiknek lehetőség szerint mentort kell keresni.|SJ01
JK02|2|A belső szerkezet elemezhető, meghatározhatók a kulcsszereplők. Az adatok alapján kockázatelemzés végezhető.|SF07,ST02
JK03|2|A digitális aláírásokat használó fejlesztők nyílt kulcsait (rendszerint GPG) be kell szerezni, biztonságos adatbázisban kell tárolni, hozzáférhetővé tenni és szükség esetén ellenőrizni.|
JK04|2|Folyamatosan monitorozni kell a közösséget.|SK05
JK05|2|Megfelelő lobbierőt kell kiépíteni az érdekérvényesítő képesség érdekében.|SH07,SF07,ST02
JK06|2|Kapcsolatépítéssel és személyes találkozásokkal erősíthető a közösséggel való együttműködés (pl.találkozók szervezése).|SH07,SF07,ST02
JK07|2|A vezetőkben tudatosítani kell, hogy az OSSD fejlesztőit más módon kell motiválni.|SK03, SK04, ST02, ST03
